iter	Logloss	Accuracy
0	0.6704458106	0.7462686567
1	0.6506826138	0.776119403
2	0.629693129	0.7910447761
3	0.6119274796	0.7985074627
4	0.5962305763	0.8582089552
5	0.5792387858	0.8731343284
6	0.5663576137	0.8805970149
7	0.5543559218	0.8731343284
8	0.5408144869	0.8880597015
9	0.5270263458	0.8955223881
10	0.5164321799	0.8805970149
11	0.5048424419	0.8955223881
12	0.4931182232	0.8880597015
13	0.4834313029	0.8955223881
14	0.4765021709	0.8955223881
15	0.4709321979	0.8955223881
16	0.4644896396	0.8955223881
17	0.4548393546	0.9104477612
18	0.446869369	0.9104477612
19	0.4360529149	0.9029850746
20	0.4303490362	0.9104477612
21	0.424461603	0.9029850746
22	0.4179319739	0.9029850746
23	0.4124197381	0.9029850746
24	0.4075913117	0.9029850746
25	0.4008379815	0.9104477612
26	0.3955752963	0.8955223881
27	0.3908101266	0.8955223881
28	0.3867009754	0.8955223881
29	0.3823473415	0.9029850746
30	0.3782709554	0.9029850746
31	0.3746980386	0.9029850746
32	0.3697128449	0.8955223881
33	0.3654628229	0.8955223881
34	0.3624227909	0.8955223881
35	0.3597898408	0.9029850746
36	0.3552112437	0.9029850746
37	0.3520620147	0.8955223881
38	0.3476404011	0.8955223881
39	0.343071639	0.8955223881
40	0.3407343928	0.8955223881
41	0.3374340188	0.8880597015
42	0.3328877831	0.8880597015
43	0.3313149629	0.8955223881
44	0.3288465078	0.8880597015
45	0.3247750801	0.8955223881
46	0.321480022	0.8955223881
47	0.317102939	0.8955223881
48	0.3140818851	0.9029850746
49	0.3118085372	0.9029850746
50	0.309125326	0.9104477612
51	0.3061627292	0.9104477612
52	0.303087798	0.9104477612
53	0.300232375	0.9104477612
54	0.2972933713	0.9253731343
55	0.2940920269	0.9253731343
56	0.2916818633	0.9253731343
57	0.2886728467	0.9253731343
58	0.2858242807	0.9328358209
59	0.2836758243	0.9328358209
60	0.2821336618	0.9328358209
61	0.2810377497	0.9328358209
62	0.2792600068	0.9402985075
63	0.2773343158	0.9402985075
64	0.2748127022	0.9328358209
65	0.2729852526	0.9328358209
66	0.2714662878	0.9402985075
67	0.2692811367	0.9402985075
68	0.2673569128	0.9402985075
69	0.2655801354	0.9402985075
70	0.2644431645	0.9402985075
71	0.2604433686	0.9402985075
72	0.2590805147	0.9402985075
73	0.2572846153	0.9402985075
74	0.2551179937	0.947761194
75	0.2522850751	0.947761194
76	0.2515386433	0.947761194
77	0.2503471439	0.947761194
78	0.24923245	0.947761194
79	0.2477384217	0.9402985075
80	0.2455529109	0.9402985075
81	0.2447291848	0.947761194
82	0.2431365123	0.9402985075
83	0.2411424904	0.9402985075
84	0.2399216542	0.9402985075
85	0.2391506063	0.9402985075
86	0.2363298243	0.9552238806
87	0.235834724	0.9552238806
88	0.2341671486	0.9626865672
89	0.2323094864	0.9626865672
90	0.2305328941	0.9626865672
91	0.22803227	0.9626865672
92	0.2271311367	0.9626865672
93	0.225138888	0.9701492537
94	0.2244023234	0.9701492537
95	0.2232736258	0.9701492537
96	0.2227740523	0.9701492537
97	0.2206242911	0.9701492537
98	0.22040856	0.9701492537
99	0.2194080393	0.9701492537
100	0.2189051604	0.9701492537
101	0.2178290079	0.9701492537
102	0.2153766277	0.9701492537
103	0.2147213019	0.9701492537
104	0.2125573072	0.9701492537
105	0.2099866526	0.9701492537
106	0.208309408	0.9701492537
107	0.2071468906	0.9701492537
108	0.2061677413	0.9701492537
109	0.204703051	0.9701492537
110	0.2038624267	0.9701492537
111	0.2029052542	0.9701492537
112	0.2017552168	0.9701492537
113	0.200520476	0.9701492537
114	0.1993866349	0.9701492537
