iter	Passed	Remaining
0	2	2812
1	4	2356
2	6	2068
3	7	1951
4	9	1913
5	11	1824
6	14	2012
7	14	1804
8	18	1982
9	21	2084
10	21	1971
11	22	1859
12	22	1734
13	23	1622
14	23	1528
15	23	1448
16	23	1377
17	24	1313
18	24	1257
19	24	1206
20	24	1155
21	24	1110
22	25	1073
23	25	1038
24	25	1006
25	26	976
26	26	947
27	26	921
28	26	896
29	26	870
30	27	849
31	27	829
32	27	810
33	31	893
34	33	912
35	33	902
36	34	902
37	34	885
38	35	868
39	35	854
40	35	838
41	36	824
42	38	864
43	39	859
44	41	886
45	43	892
46	43	890
47	45	896
48	46	893
49	46	889
50	47	885
51	48	883
52	49	879
53	50	887
54	50	876
55	51	864
56	51	853
57	51	842
58	52	832
59	52	820
60	52	810
61	55	835
62	55	825
63	56	819
64	58	846
65	59	841
66	60	839
67	61	836
68	61	831
69	61	823
70	62	820
71	63	818
72	64	814
73	64	807
74	64	799
75	65	791
76	65	784
77	66	784
78	67	783
79	67	776
80	67	770
81	68	768
82	68	761
83	69	755
84	70	755
85	70	749
86	70	743
87	71	737
88	71	731
89	71	726
90	72	720
91	72	720
92	73	720
93	75	724
94	75	723
95	76	718
96	76	713
97	77	709
98	77	708
99	78	703
100	78	702
101	79	700
102	80	699
103	80	695
104	81	690
105	81	686
106	81	682
107	82	677
108	82	673
109	82	668
110	82	664
111	83	660
112	83	656
113	83	652
114	84	648
115	84	644
116	84	641
117	85	637
118	86	637
119	86	634
120	87	635
121	87	633
122	89	637
123	90	640
124	91	639
125	92	638
126	92	638
127	93	637
128	94	637
129	95	637
130	96	639
131	97	641
132	98	640
133	98	637
134	99	636
135	100	637
136	100	634
137	101	631
138	101	627
139	101	624
140	102	621
141	102	618
142	102	615
143	103	612
144	104	613
145	104	610
146	104	607
147	105	604
148	105	603
149	106	600
150	106	598
151	106	595
152	107	592
153	107	590
154	107	587
155	108	585
156	108	582
157	108	579
158	109	577
159	109	574
160	109	572
161	110	571
162	111	571
163	112	571
164	112	570
165	113	568
166	113	565
167	113	563
168	114	560
169	114	560
170	115	560
171	116	559
172	117	560
173	117	559
174	118	559
175	118	557
176	119	554
177	119	552
178	120	552
179	120	549
180	121	547
181	121	547
182	122	545
183	122	545
184	123	545
185	124	544
186	124	542
187	125	540
188	125	538
