iter	Logloss	Accuracy
0	0.6796956217	0.7475247525
1	0.6672085846	0.7524752475
2	0.6538137147	0.7574257426
3	0.6389275528	0.7920792079
4	0.6272901337	0.8118811881
5	0.6169162997	0.801980198
6	0.6051193492	0.8217821782
7	0.5972822973	0.8168316832
8	0.5864824787	0.8465346535
9	0.5755466153	0.8514851485
10	0.5650979327	0.8465346535
11	0.5569420034	0.8564356436
12	0.5498228243	0.8465346535
13	0.5443457266	0.8465346535
14	0.5415102038	0.8465346535
15	0.5337869048	0.8465346535
16	0.5253989322	0.8564356436
17	0.5208236491	0.8514851485
18	0.5138125451	0.8663366337
19	0.5066113576	0.8663366337
20	0.5002198061	0.8663366337
21	0.4975888546	0.8712871287
22	0.4907836	0.8762376238
23	0.4854274952	0.8663366337
24	0.4782643043	0.8564356436
25	0.4719907149	0.8613861386
26	0.4653671691	0.8663366337
27	0.4617872611	0.8613861386
28	0.4573166963	0.8613861386
29	0.4532074604	0.8613861386
30	0.4472446588	0.8613861386
31	0.4449358443	0.8613861386
32	0.4427037097	0.8613861386
33	0.4402197377	0.8564356436
34	0.4349878438	0.8613861386
35	0.4298924239	0.8663366337
36	0.4285254668	0.8712871287
37	0.4250281011	0.8712871287
38	0.420459145	0.8712871287
39	0.4162721955	0.8712871287
40	0.4141084341	0.8861386139
41	0.4118523895	0.8762376238
42	0.4102870847	0.8811881188
43	0.4061193794	0.8861386139
44	0.4026483	0.8861386139
45	0.4015383017	0.8861386139
46	0.3994322566	0.8910891089
47	0.3966268308	0.8910891089
48	0.3931555235	0.8910891089
49	0.389952962	0.8910891089
50	0.3871286594	0.8910891089
51	0.3849885497	0.8910891089
52	0.3814704186	0.900990099
53	0.3794428964	0.900990099
54	0.3766283408	0.900990099
55	0.3743740754	0.900990099
56	0.3720546957	0.900990099
57	0.3699998521	0.900990099
58	0.3686500193	0.900990099
59	0.3669809426	0.900990099
60	0.3654169596	0.900990099
61	0.3629806149	0.900990099
62	0.3603213789	0.900990099
63	0.3577382158	0.900990099
64	0.3568448771	0.900990099
65	0.3544474274	0.9059405941
66	0.3520436813	0.9059405941
67	0.349569468	0.9059405941
68	0.3484282387	0.900990099
69	0.3461542055	0.9059405941
70	0.3443252662	0.9059405941
71	0.3431945183	0.9059405941
72	0.3410117755	0.9059405941
73	0.3386655112	0.9059405941
74	0.3369488842	0.9059405941
75	0.334395197	0.9108910891
76	0.3333524098	0.9108910891
77	0.3315422632	0.9108910891
78	0.3305647792	0.9108910891
79	0.3292790304	0.9158415842
80	0.3268873433	0.9158415842
81	0.3255753903	0.9158415842
82	0.324143294	0.9108910891
83	0.3226038606	0.9108910891
84	0.3214940005	0.9158415842
85	0.3194949851	0.9158415842
86	0.318437701	0.9158415842
87	0.3168124746	0.9158415842
88	0.3155342682	0.9158415842
89	0.3143052374	0.9158415842
90	0.3131938289	0.9207920792
91	0.3117894595	0.9207920792
92	0.310473704	0.9207920792
93	0.3091063206	0.9207920792
94	0.3080564599	0.9207920792
95	0.3065477972	0.9257425743
96	0.3040400026	0.9306930693
97	0.3036772062	0.9306930693
98	0.3032711304	0.9306930693
99	0.3017572375	0.9306930693
100	0.3009953988	0.9306930693
101	0.3000809909	0.9356435644
102	0.2991014443	0.9356435644
103	0.2983679907	0.9306930693
104	0.2974122363	0.9356435644
105	0.2961930435	0.9356435644
106	0.2953464417	0.9356435644
107	0.2942737678	0.9356435644
108	0.2931679438	0.9356435644
109	0.2917587879	0.9356435644
110	0.2916434405	0.9356435644
111	0.290480077	0.9356435644
112	0.288840341	0.9405940594
113	0.2869994304	0.9405940594
114	0.286284381	0.9455445545
115	0.2853223641	0.9455445545
116	0.283172401	0.9455445545
117	0.280549582	0.9455445545
118	0.2798815165	0.9455445545
119	0.2791412178	0.9504950495
120	0.2779182889	0.9504950495
121	0.2762849635	0.9504950495
122	0.2750570759	0.9504950495
123	0.2724989711	0.9504950495
124	0.2715980641	0.9504950495
125	0.2713575524	0.9504950495
126	0.2698412599	0.9504950495
127	0.2692958	0.9504950495
128	0.2682023635	0.9504950495
129	0.2662640423	0.9504950495
130	0.2660139037	0.9504950495
131	0.2642176883	0.9504950495
132	0.2640187075	0.9504950495
133	0.2624643703	0.9504950495
134	0.2618332416	0.9504950495
135	0.2617245684	0.9504950495
136	0.2604274374	0.9504950495
137	0.259205341	0.9504950495
138	0.2577457553	0.9504950495
139	0.2572349299	0.9504950495
140	0.2562208142	0.9504950495
141	0.2552711393	0.9504950495
142	0.2542636025	0.9554455446
143	0.2535135809	0.9554455446
144	0.2521790603	0.9554455446
145	0.2515613205	0.9554455446
146	0.2509292952	0.9554455446
147	0.2504642557	0.9554455446
148	0.249115508	0.9554455446
149	0.247262083	0.9554455446
150	0.2466404898	0.9554455446
151	0.2457704975	0.9554455446
152	0.244516912	0.9603960396
153	0.2433003352	0.9603960396
154	0.2425586218	0.9603960396
155	0.2415548617	0.9603960396
156	0.2403132287	0.9603960396
157	0.2398052349	0.9603960396
158	0.2390964639	0.9603960396
159	0.2379424738	0.9603960396
160	0.2375211206	0.9603960396
161	0.2370513372	0.9603960396
162	0.2359034154	0.9603960396
163	0.2351663528	0.9603960396
164	0.2342280029	0.9603960396
165	0.2334858585	0.9603960396
166	0.2329536447	0.9603960396
167	0.2308645103	0.9603960396
168	0.2300481007	0.9603960396
169	0.2291674054	0.9603960396
170	0.2284993386	0.9603960396
171	0.2280865008	0.9603960396
172	0.2272943747	0.9603960396
173	0.2262770267	0.9603960396
174	0.2261881661	0.9603960396
175	0.2255983079	0.9603960396
176	0.2244520833	0.9603960396
177	0.2238175247	0.9603960396
178	0.2234666415	0.9603960396
179	0.2229288868	0.9603960396
180	0.2223864372	0.9603960396
181	0.2213767992	0.9603960396
182	0.2207269795	0.9603960396
183	0.2191959865	0.9603960396
184	0.2182242552	0.9603960396
185	0.2181832298	0.9603960396
186	0.216922969	0.9603960396
187	0.2160744759	0.9603960396
188	0.2154564254	0.9603960396
189	0.2148253284	0.9603960396
190	0.2138584946	0.9603960396
191	0.2136090443	0.9603960396
192	0.2132245273	0.9603960396
193	0.2122180781	0.9603960396
194	0.2119840088	0.9603960396
195	0.2115619512	0.9603960396
196	0.2106436679	0.9603960396
197	0.2095740924	0.9603960396
198	0.2085498144	0.9603960396
199	0.2081198541	0.9653465347
200	0.2074899111	0.9653465347
201	0.2066767233	0.9603960396
202	0.2064593301	0.9653465347
203	0.2053486233	0.9653465347
204	0.2045809303	0.9653465347
205	0.2041045768	0.9653465347
206	0.2037523904	0.9653465347
207	0.2027073307	0.9653465347
208	0.2023864782	0.9653465347
209	0.2018110599	0.9653465347
210	0.2014133482	0.9653465347
211	0.2007150912	0.9653465347
212	0.199686708	0.9653465347
213	0.199550925	0.9653465347
214	0.1990932817	0.9653465347
215	0.1989256681	0.9653465347
216	0.1985572107	0.9653465347
217	0.198124672	0.9653465347
218	0.1974695925	0.9653465347
219	0.1969330223	0.9702970297
220	0.1957138299	0.9702970297
221	0.1953725055	0.9653465347
222	0.1950123642	0.9702970297
223	0.1944370564	0.9702970297
224	0.193685613	0.9702970297
225	0.1934485772	0.9702970297
226	0.1932518895	0.9702970297
227	0.1929468542	0.9702970297
228	0.1920653715	0.9702970297
229	0.1918615255	0.9702970297
230	0.1916224502	0.9702970297
231	0.1912016383	0.9702970297
232	0.1911474219	0.9702970297
233	0.1908910409	0.9702970297
234	0.1900430439	0.9702970297
235	0.189040643	0.9752475248
236	0.188618506	0.9752475248
237	0.1884483719	0.9752475248
238	0.187956446	0.9752475248
239	0.1877090938	0.9752475248
240	0.1865822836	0.9752475248
241	0.1857172918	0.9752475248
242	0.1847023935	0.9752475248
243	0.1838054246	0.9752475248
244	0.1830124465	0.9752475248
245	0.1828100382	0.9752475248
246	0.1826713011	0.9752475248
247	0.1824184309	0.9752475248
248	0.1814804383	0.9752475248
249	0.1806213404	0.9801980198
250	0.1800960847	0.9801980198
251	0.179731587	0.9801980198
252	0.1796543099	0.9801980198
253	0.1794678437	0.9801980198
254	0.1791995749	0.9752475248
255	0.1790085676	0.9752475248
256	0.1783900236	0.9752475248
257	0.1775697621	0.9851485149
258	0.1770985835	0.9851485149
259	0.1762156459	0.9851485149
260	0.1760938671	0.9851485149
261	0.1756387627	0.9851485149
262	0.1743481083	0.9851485149
263	0.174083724	0.9851485149
264	0.1737667658	0.9851485149
265	0.1736032857	0.9851485149
266	0.172570695	0.9851485149
267	0.1719473332	0.9851485149
268	0.171648699	0.9851485149
269	0.1710929477	0.9851485149
270	0.1705106876	0.9851485149
271	0.1701561113	0.9851485149
272	0.1693170352	0.9851485149
