iter	Passed	Remaining
0	0	370
1	0	372
2	1	354
3	1	337
4	1	330
5	1	308
6	2	307
7	2	290
8	2	291
9	2	294
10	3	298
11	3	298
12	3	299
13	4	295
14	4	295
15	4	295
16	5	298
17	5	301
18	6	347
19	7	362
20	8	376
21	8	385
22	9	407
23	10	416
24	11	431
25	12	454
26	12	461
27	13	456
28	13	451
29	13	448
30	14	449
31	14	442
32	14	436
33	15	430
34	15	426
35	15	426
36	16	424
37	16	420
38	16	417
39	17	415
40	17	411
41	18	413
42	18	408
43	18	406
44	19	403
45	19	397
46	19	396
47	19	395
48	20	392
49	20	389
50	20	388
51	21	385
52	21	386
53	22	392
54	23	397
55	23	396
56	23	396
57	24	392
58	24	390
59	24	388
60	25	386
61	25	387
62	25	386
63	26	387
64	27	395
65	28	403
66	29	407
67	29	407
68	30	407
69	30	406
70	30	404
71	31	402
72	31	400
73	31	398
74	32	397
75	32	395
76	32	393
77	33	391
78	33	388
79	33	386
80	33	385
81	34	383
82	34	381
83	34	380
84	35	378
85	35	377
86	35	375
87	36	374
88	36	375
89	37	374
90	37	373
91	37	372
92	38	371
93	38	369
94	38	367
95	38	365
96	39	364
97	39	362
98	39	360
99	40	361
100	40	359
101	40	359
102	41	357
103	41	356
104	41	355
105	41	354
106	42	353
107	42	354
108	43	354
109	43	354
110	44	352
111	44	352
112	44	352
113	45	350
114	45	350
115	45	350
116	46	350
117	47	353
118	47	354
119	48	355
120	51	377
121	52	377
122	52	376
123	53	375
124	53	373
125	53	371
126	54	372
127	54	372
128	55	371
129	55	370
130	55	368
131	55	367
132	56	366
133	56	364
134	56	363
135	56	361
136	57	360
137	57	359
138	57	358
139	58	357
140	58	356
141	58	356
142	59	354
143	59	354
144	59	353
145	60	352
146	60	352
147	61	355
148	62	355
149	62	354
150	62	353
151	66	369
152	66	368
153	66	367
154	67	366
155	68	370
156	68	368
157	69	367
158	69	366
159	69	365
160	69	364
161	70	363
162	70	362
163	70	361
164	71	359
165	71	358
166	71	357
167	72	356
168	72	355
169	72	354
170	72	353
171	73	352
172	73	351
173	73	350
174	74	349
175	74	348
176	74	347
177	75	346
178	75	347
179	76	346
180	76	345
181	76	344
182	77	343
183	77	343
184	77	342
185	77	340
186	78	340
187	78	339
188	78	338
189	79	337
190	79	336
191	79	335
192	79	334
193	80	333
194	80	332
195	80	331
196	81	330
197	81	329
198	81	328
199	82	328
200	82	327
201	82	326
202	82	325
203	83	324
204	83	324
205	83	323
206	84	322
207	84	321
208	84	321
209	85	323
210	86	323
211	86	323
212	87	323
213	87	322
214	88	322
215	88	321
216	89	324
217	90	323
218	90	323
219	90	322
220	91	321
221	91	320
222	91	320
223	92	319
224	92	318
225	92	318
226	93	317
227	93	317
228	93	316
229	94	315
230	94	314
231	94	313
232	94	312
233	95	311
234	95	311
235	95	310
236	96	309
237	96	308
238	96	307
239	96	307
240	97	306
241	97	305
242	97	304
243	98	304
244	98	303
245	98	302
246	98	301
247	99	300
248	99	300
249	99	299
250	100	298
251	100	297
252	100	296
253	100	295
254	101	295
255	101	294
256	101	294
257	102	293
258	102	293
259	102	292
260	103	291
261	103	291
262	103	290
263	104	290
264	104	289
265	104	289
266	105	288
267	105	288
268	105	287
269	106	287
270	106	286
271	106	285
272	107	285
273	107	284
274	107	283
275	108	283
276	108	282
277	108	282
278	109	281
279	109	281
280	109	280
281	109	279
282	110	279
283	110	278
284	110	277
285	111	277
286	111	276
287	111	276
288	112	276
289	112	275
290	113	275
291	113	275
292	113	274
293	114	274
294	114	273
295	114	273
296	115	272
297	115	273
298	116	272
299	116	271
300	116	271
301	117	271
302	117	270
303	118	270
304	118	269
305	119	270
306	119	269
307	119	269
308	120	268
309	120	268
310	120	267
311	121	267
312	121	266
313	121	266
314	122	265
315	122	265
316	123	265
317	123	265
318	124	264
319	124	264
320	124	263
321	124	263
322	125	262
323	125	261
324	125	261
325	126	260
326	126	260
327	126	259
328	126	258
329	127	258
330	127	257
331	127	257
332	128	256
333	128	256
334	128	255
335	129	254
336	129	254
337	129	253
338	130	254
339	130	253
340	131	253
341	131	252
342	131	252
343	131	251
344	132	251
345	132	250
346	132	249
347	133	249
348	133	248
349	133	248
350	134	248
351	135	248
352	135	248
353	135	247
354	136	247
355	136	246
356	136	246
357	137	246
358	137	245
359	137	245
360	138	244
361	138	244
362	138	243
363	139	243
364	139	242
365	139	242
366	139	241
367	140	240
368	140	240
369	140	239
370	141	239
371	141	239
372	141	238
373	142	237
374	142	237
375	142	236
376	143	236
377	143	235
378	143	235
379	144	235
380	144	234
381	144	234
382	145	233
383	145	233
384	145	232
385	146	232
386	146	232
387	146	231
388	147	231
389	147	230
390	147	230
391	148	229
392	148	229
393	148	228
394	148	228
395	149	227
396	149	227
397	149	226
398	150	226
399	150	225
400	150	225
401	151	224
402	151	224
403	151	223
404	152	223
405	152	222
406	152	222
407	152	221
408	153	221
409	153	220
410	153	220
411	154	219
412	154	219
413	154	218
414	155	218
415	155	218
416	155	217
417	155	217
418	156	216
419	156	216
420	156	215
421	157	215
422	157	214
423	157	214
424	157	213
425	158	213
426	158	213
427	159	212
428	159	212
429	159	211
430	159	211
431	160	210
432	160	210
433	160	209
434	161	209
435	161	208
436	161	208
437	161	207
438	162	207
439	162	206
440	162	206
441	163	205
442	163	205
443	163	204
444	163	204
445	164	203
446	164	203
447	164	203
448	165	202
449	165	202
450	165	202
451	166	201
452	166	201
453	166	200
454	167	200
455	167	200
456	168	199
457	168	199
458	169	199
459	169	198
460	169	198
461	169	197
462	170	197
463	170	196
464	170	196
465	171	196
466	171	195
467	171	195
468	171	194
469	172	194
470	172	193
471	172	193
472	173	192
473	173	192
474	173	191
475	173	191
476	174	191
477	174	190
478	174	190
479	175	189
480	175	189
481	176	189
482	176	188
483	176	188
484	177	188
485	177	187
486	177	187
487	178	186
488	178	186
489	178	186
490	179	185
491	179	185
492	180	185
493	180	185
494	181	184
495	181	184
496	181	184
497	182	183
498	182	183
499	182	182
500	183	182
501	183	182
502	184	181
503	184	181
504	184	181
505	185	180
506	185	180
507	185	179
508	185	179
509	186	178
510	186	178
511	186	178
512	187	177
513	187	177
514	187	176
515	188	176
516	188	176
517	188	175
518	189	175
519	189	174
520	189	174
521	190	174
522	190	173
523	190	173
524	190	172
525	191	172
526	191	172
527	192	171
528	192	171
529	193	171
530	193	171
531	194	170
532	194	170
533	195	170
534	195	169
535	195	169
536	196	169
537	196	168
538	197	168
539	197	168
540	197	167
541	198	167
542	198	167
543	198	166
544	199	166
545	199	166
546	200	165
547	200	165
548	200	165
549	201	164
550	201	164
551	202	163
552	202	163
553	202	163
554	202	162
555	203	162
556	203	161
557	203	161
558	204	161
559	204	160
560	204	160
561	205	159
562	205	159
563	205	159
564	206	158
565	206	158
566	206	157
567	207	157
568	207	157
569	207	156
570	208	156
571	208	156
572	209	156
573	209	155
574	210	155
575	210	154
576	210	154
577	211	154
578	211	153
579	211	153
580	212	153
581	212	152
582	213	152
583	213	151
584	213	151
585	215	151
586	215	151
587	215	151
588	216	151
589	216	150
590	217	150
591	217	149
592	218	149
593	218	149
594	218	148
595	218	148
596	219	147
597	219	147
598	219	147
599	220	146
600	220	146
601	220	146
602	221	145
603	221	145
604	221	144
605	222	144
606	222	144
607	222	143
608	223	143
609	223	142
610	224	142
611	224	142
612	224	141
