iter	Logloss
0	0.6773149874
1	0.6611536712
2	0.649434507
3	0.6346788316
4	0.6221078821
5	0.6099965422
6	0.5996613032
7	0.59011982
8	0.5811104559
9	0.5751671032
10	0.5674071898
11	0.5592041528
12	0.5513942615
13	0.5448156371
14	0.5372838756
15	0.5307410156
16	0.5250126958
17	0.520534167
18	0.5152701409
19	0.5103371349
20	0.5060311827
21	0.5011954241
22	0.4973601909
23	0.4926525185
24	0.4891194157
25	0.4872277439
26	0.4833644085
27	0.4793478111
28	0.4751684498
29	0.4713475168
30	0.4678985298
31	0.4645983358
32	0.4614774531
33	0.4581233402
34	0.4555052986
35	0.4520641109
36	0.4492646105
37	0.4470448993
38	0.4452739798
39	0.4444402525
40	0.4424804079
41	0.4402363098
42	0.4377879028
43	0.4353786387
44	0.4328232561
45	0.4311530272
46	0.4286404035
47	0.4265634074
48	0.42501143
49	0.4230423317
50	0.4215336032
51	0.4204987039
52	0.4195827257
53	0.4180417182
54	0.4162449193
55	0.4142858284
56	0.4140597842
57	0.4129684716
58	0.4125737309
59	0.4113220592
60	0.4104383267
61	0.408913514
62	0.4081120665
63	0.4072511158
64	0.4057441415
65	0.403864541
66	0.4033202904
67	0.402565875
68	0.4008223946
69	0.3991695771
70	0.3974397978
71	0.3966459172
72	0.3953294558
73	0.3938992718
74	0.393283583
75	0.3914544766
76	0.3907163048
77	0.3899582266
78	0.3885153829
79	0.3882311607
80	0.3876110508
81	0.3871129887
82	0.3849283081
83	0.3833634299
84	0.3815742041
85	0.3793777336
86	0.3781589825
87	0.3764139547
88	0.3759259551
89	0.3745499786
90	0.3731742916
91	0.3720557852
92	0.3706200446
93	0.3698987664
94	0.3692103769
95	0.3684003958
96	0.367531408
97	0.3666373067
98	0.3654633848
99	0.3642613487
