iter	Passed	Remaining
0	0	32
1	0	26
2	0	26
3	1	24
4	1	23
5	1	24
6	2	34
7	2	32
8	3	38
9	4	37
10	4	35
11	4	33
12	4	32
13	5	31
14	5	30
15	5	29
16	5	28
17	6	28
18	6	26
19	6	26
20	6	25
21	7	25
22	8	27
23	8	26
24	8	25
25	8	25
26	9	26
27	10	26
28	10	25
29	10	25
30	11	25
31	11	24
32	11	24
33	12	23
34	12	23
35	12	23
36	13	22
37	13	22
38	13	21
39	14	21
40	14	20
41	14	20
42	15	19
43	15	19
44	15	19
45	15	18
46	16	18
47	16	17
48	16	17
49	17	17
50	17	16
51	17	16
52	17	15
53	18	15
54	18	15
55	18	14
56	19	14
57	19	14
58	19	13
59	19	13
60	20	12
61	20	12
62	20	12
63	21	11
64	21	11
65	21	11
66	22	10
67	22	10
68	22	10
69	23	9
70	23	9
71	23	9
72	23	8
73	24	8
74	24	8
75	24	7
76	25	7
77	25	7
78	25	6
79	25	6
80	26	6
81	26	5
82	26	5
83	26	5
84	27	4
85	27	4
86	27	4
87	28	3
88	28	3
89	28	3
90	29	2
91	29	2
92	29	2
93	30	1
94	30	1
95	30	1
96	31	0
97	31	0
98	31	0
99	32	0
